Codigo_IES;Nombre_IES;Departamento;Sector;Total_Matriculados;Total_Graduados;Total_Inscritos;Total_Admitidos;Total_Primer_Curso;Total_Docentes;Total_Administrativos;Tasa_Graduacion;Tasa_Admision;Tasa_Absorcion;Ratio_Docentes_Matriculados
1101;UNIVERSIDAD NACIONAL DE COLOMBIA;BogotÃ¡ - D.C.;OFICIAL;708601;39757.0;550707.0;105933.0;95445;62506.0;29676.0;0.0561;0.1924;0.901;0.0882
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;ANTIOQUIA;OFICIAL;272608;13467.0;117415.0;51068.0;42625;18473.0;9839.0;0.0494;0.4349;0.8347;0.0678
1103;UNIVERSIDAD NACIONAL DE COLOMBIA;Caldas;OFICIAL;125325;8227.0;39898.0;22187.0;19379;8282.0;3235.0;0.0656;0.5561;0.8734;0.0661
1104;UNIVERSIDAD NACIONAL DE COLOMBIA;VALLE DEL CAUCA;OFICIAL;67405;3280.0;16913.0;10010.0;8343;5034.0;3142.0;0.0487;0.5919;0.8335;0.0747
1105;UNIVERSIDAD PEDAGOGICA NACIONAL;BogotÃ¡ - D.C.;OFICIAL;211614;9992.0;124045.0;33664.0;28069;20617.0;4644.0;0.0472;0.2714;0.8338;0.0974
1106;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC;BoyacÃ¡;OFICIAL;501206;35141.0;189235.0;90913.0;78144;31485.0;11507.0;0.0701;0.4804;0.8595;0.0628
1107;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC;BoyacÃ¡;OFICIAL;69094;4716.0;17189.0;9277.0;9394;4141.0;1293.0;0.0683;0.5397;1.0126;0.0599
1108;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC;BoyacÃ¡;OFICIAL;81550;5621.0;26916.0;11755.0;11128;3821.0;1235.0;0.0689;0.4367;0.9467;0.0469
1109;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC;BoyacÃ¡;OFICIAL;19418;874.0;4717.0;2483.0;2036;1319.0;573.0;0.045;0.5264;0.82;0.0679
1110;UNIVERSIDAD DEL CAUCA;Cauca;OFICIAL;345302;14778.0;235928.0;42564.0;37632;27065.0;16068.0;0.0428;0.1804;0.8841;0.0784
